spotify_track_id,topic_prob_0,topic_prob_1,topic_prob_2,topic_prob_3,topic_prob_4,topic_prob_5,topic_prob_6,topic_prob_7,topic_prob_8,topic_prob_9,topic_prob_10,topic_prob_11,topic_prob_12,topic_prob_13,topic_prob_14
4g1PBqbsoxf2GdcLT0hGTu,0.12905466428131995,0.32532430471486334,0.014846007094052895,0.02146262668643275,0.06661687064939918,0.019886174620270144,0.01625566955469379,0.014629505794495911,0.1720446042298612,0.015563746939382695,0.021466861120431797,0.014495855256827258,0.03621713724790148,0.05612572950291643,0.011110041451634859
1ZSf4bAstHZQjXgzMK2VbJ,0.18326819802803224,0.11457419771286856,0.014945873112497173,0.022682552415301212,0.07372550971394895,0.018628258538412924,0.018129096994388333,0.015631387138254037,0.2885552590264504,0.01711028719587226,0.020041113060535767,0.014281466184669403,0.033998010185231735,0.04291648662741513,0.010891620896875473
0Oipf6ZDbyRu53s1FbLXqw,0.5086245090658406,0.0920993290203718,0.01570290961561792,0.02058205319050463,0.0499606418299784,0.01956335416612677,0.015031754456179209,0.013140872952319882,0.12313206209847373,0.015038989234527908,0.02140894294651033,0.01473417688152585,0.034979173314507866,0.04446829180254215,0.011532939424973111
2JLbmO8Hs5LHJRUMxQefwM,0.43411395410115844,0.08441087743386888,0.016056845073260557,0.02172167303352405,0.05165309006253667,0.019504693856558716,0.015601792677061641,0.01338260976141212,0.12509595260375264,0.015782365847065924,0.02134574903206678,0.014586059957572034,0.03353030474907001,0.04072930494541895,0.01113035397098099
38I9WxdCEH2nlKAHsAayyI,1.0,1.2114941875739771e-307,2.258346579287707e-308,2.968230016503298e-308,6.814537359760844e-308,2.798247216355829e-308,2.0904012830559405e-308,1.8023179459756935e-308,1.681947791118963e-307,2.1246081927055547e-308,3.0632033814497997e-308,2.083837930935541e-308,5.231527580519619e-308,6.119794276384276e-308,1.611761223933095e-308
6Jt48FX3ASdqdKw3d9qcjq,3.127273614495034e-307,3.433187556040411e-307,2.929841254276724e-308,3.8234640121215736e-308,8.158089437979304e-308,4.795176098789411e-308,2.655260259816559e-308,2.3444955533531187e-308,2.016043659841036e-307,2.800803594479921e-308,5.071088414148682e-308,3.206200381062087e-308,1.111650015552523e-307,1.0,2.306870761735144e-308
2oetBTEeahr6Sl8EWRahTc,0.024646986307818124,0.027577884553944207,0.0023324608443964535,0.003496961335787061,0.009329868407735703,0.003300826544639089,0.002658509183370907,0.0023172157822961893,0.028452531557030876,0.002627441948430859,0.003592200665613644,0.002394297992091137,0.006759702095476569,0.013120373126108174,0.0017975518047245362
55SCsHZBHo0W063W41WLrM,0.07402626058927277,0.05338868288695918,0.11568896457721017,0.038245845476805,0.023491739268929883,0.03134439718868534,0.012408198058616402,0.011089944763656889,0.03833266627667352,0.016825694841815893,0.05584785838975698,0.02754873710433806,0.017269207047006536,0.015545027157691908,0.020676150019314606
0oj4vzdfwAivhj93FD1jJq,0.5809928590628131,0.07806579267986281,0.013900521670166683,0.017805048033843113,0.03904231091788399,0.018073594294315865,0.01221300535358872,0.010584025952446268,0.095162740139011,0.012638946483440529,0.019725682865497224,0.013176201095803463,0.03484955166059096,0.04376011654399881,0.010009603246737707
0BwSWW6sEqPGirlVhj0TfG,0.28723382348912974,0.06894042106092527,0.01613214121627626,0.02439552519331572,0.04596377895273953,0.018223602789806587,0.014815540361253059,0.012033692406457044,0.11914017858914584,0.01561798190136205,0.020956025771537507,0.013179582390807274,0.03575249028222462,0.03124163873527131,0.009840014420790296
7asicziv1NB49eEA1ZPp2O,0.12860448142018627,0.31187076686936027,0.015195566469679516,0.02156722222420019,0.06325813881585077,0.02158044329768242,0.01707170499489547,0.015553966521822584,0.1269545840329646,0.016692825577497558,0.02273001373592522,0.015926364130148293,0.03632210521008287,0.06627344128027657,0.011954228586499112
6S2KsdwN6EaK3mIsUzFOAT,0.1283754712755275,0.24978399464181117,0.014777981907482812,0.02132911156255742,0.06843346178210077,0.019339658918538727,0.016360172967475294,0.014743239225251788,0.19573924448577099,0.01555550048047725,0.020890552238719818,0.014253893243292464,0.034094278627199,0.05008988253590259,0.010910957245284798
4DDHMiANxbKepayNuhjbSk,0.02201547102953407,0.017335245135134746,0.002065261237680675,0.0032003104644006686,0.009881285625071946,0.002733977416672661,0.002553994676073531,0.002188383223543301,0.05836982818471831,0.0024413896959771184,0.0028379967840582287,0.0020700817876341975,0.005645488283880137,0.006359716059081755,0.0015758176281974832
6fyL05j6x6mkmoXs5s1M7L,0.2668733229569705,0.1228528750291494,0.016795433465401056,0.024414642026030362,0.05670557254143652,0.022505133582975248,0.016349841351551566,0.013910276623463462,0.18103339180845074,0.01668384720199139,0.025273609080466105,0.01568525471149729,0.05140586750099564,0.08672532110743647,0.011591784343084654
3uxoAia3RTpIzg5ciWmD1k,0.5237020148236411,0.06977663540150428,0.013404258039089971,0.01973650165813244,0.04687969726130731,0.01567544504903813,0.013380975316819185,0.011163890383880415,0.13009590110867184,0.013432652961465254,0.017743781691136384,0.01152390734383224,0.030474058514098873,0.03310304480679886,0.008759931801868702
5NWkYMp7RhANkoJqk3ZBGh,4.134265575188867e-307,2.7522693007535465e-307,3.020428090954638e-308,3.991927957282596e-308,8.194094957377195e-308,4.790340510901444e-308,2.682650989390655e-308,2.3322159261106327e-308,2.1821131874406505e-307,2.8483037246837466e-308,5.179165386597392e-308,3.1881659178278102e-308,1.299158842837265e-307,1.0,2.288568403501125e-308
1hPbWyZnUPaeAWbOSKwkXJ,0.4903519939916817,0.0818968883660443,0.015668322431786015,0.020825937330302243,0.048710043335332166,0.01868703560118027,0.014649779160865918,0.012622495330956595,0.11843162700894806,0.01485834203271882,0.020869140254738617,0.014034975690392458,0.033248890816470276,0.03935723740998773,0.010788980570059914
37ull7GiBZRLhWYDBIYZzW,0.15929096572437257,0.08928816757024079,0.05760414240397507,0.2760418739837273,0.052345373979983935,0.03097939519107556,0.03041096944785769,0.02381802424210266,0.08348873759450193,0.04717032336457498,0.04849230475662346,0.024399387796011328,0.029922148604716356,0.02736220623063425,0.019385979109602172
67Wq8eOJTIfx0xbyOGH91l,1.0,1.3441284111279913e-307,2.28198660899805e-308,2.9664777313160644e-308,6.871280039727528e-308,2.9188265937690506e-308,2.097383302547737e-308,1.825339657781199e-308,1.674815442620698e-307,2.1344362029057127e-308,3.2016927848091677e-308,2.1535680479630677e-308,5.411922303971198e-308,7.122961190892122e-308,1.6556792788476533e-308
4CwwqMxBkA3PhzYLWHJ7uS,0.15787580357749137,0.167697214067548,0.01646393805594178,0.02806528935244665,0.11444217874588145,0.020281704090009945,0.021869955882387698,0.018662946715080755,0.257445045380002,0.019874515808440595,0.022452157073954607,0.014846417755593878,0.03580603230122124,0.043410790345130075,0.011251485083350802
39KWnPNEvbXt423CzjvBfA,0.13900093231436958,0.16153967353831253,0.015353784611704203,0.02481799584459112,0.10238682650352204,0.01847193020303968,0.019522112415822,0.017063267194881614,0.23838896440885166,0.017662592239321147,0.020792004310896072,0.013712511973889263,0.03193228939159668,0.04002252205689849,0.0105253207545074
