title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,total_platforms,best_peak_rank,overall_avg_rank,total_appearances,hit_score,APPLE_MUSIC_appearances,APPLE_MUSIC_peak_rank,SPOTIFY_appearances,SPOTIFY_peak_rank,SPOTIFY_days_on_chart,SPOTIFY_total_streams,SPOTIFY_peak_position,NCT_appearances,NCT_peak_rank,NCT_total_likes,ZINGMP3_appearances,ZINGMP3_peak_rank,ZINGMP3_total_likes,ZINGMP3_total_plays
pin dự phòng,dương domic,lou hoàng,"apple, spotify",57,2024-11-22,"v-pop, vietnamese hip hop",29Tj2R8sZZ3fzlXZVe1OyY,2,47.0,,6.0,39.36,4.0,47.0,2.0,52.0,135.0,5738611.0,34.0,,,,,,,
hãy trao cho anh,sơn tùng m-tp,snoop dogg,nct,55,2019-07-02,"v-pop, vinahouse, vietnamese hip hop",5x5Vx0Musv3LSUKzjY73mA,1,34.0,,10.0,39.16,,,,,,,,10.0,34.0,927550.0,,,,
kịch bản,táo,hoàng yến chibi,spotify,58,2025-10-23,"vietnamese hip hop, vietnamese lo-fi, vietnam indie, v-pop",0gxXkhbz8x0P0GNN2Pc3lm,1,38.0,,13.0,39.14,,,13.0,38.0,19.0,795159.0,38.0,,,,,,,
đừng bất công với em mà,inso,viam,zingmp3,28,2025-07-11,"vinahouse, v-pop",0J3MfbyMKPSkhnxdU63XAJ,1,44.0,,17.0,38.85,,,,,,,,,,,17.0,44.0,36000.0,2400000.0
bầu trời mới,da lab,minh tốc & lam,spotify,63,2024-10-05,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",7fCeYpR02Q8JVuD88hJZVT,1,39.0,,13.0,38.74,,,13.0,39.0,407.0,28951859.0,6.0,,,,,,,
2am,justatee,bigdaddy,spotify,64,2022-05-10,"v-pop, vietnamese hip hop",3DLtPObflLQBodZN8qGODT,1,39.0,,13.0,38.74,,,13.0,39.0,1280.0,35728757.0,14.0,,,,,,,
thức giấc,da lab,,spotify,64,2021-07-14,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi, vinahouse",1MiJk3dXC5jzhvLFP0dUM7,1,39.0,,13.0,38.74,,,13.0,39.0,1584.0,44329442.0,1.0,,,,,,,
id 072019,w/n,,spotify,64,2023-07-31,"v-pop, vietnamese lo-fi, vietnamese hip hop, vietnam indie",1o6cYDMHvKOfizi4d9Lqxr,1,39.0,,13.0,38.74,,,13.0,39.0,836.0,45371167.0,3.0,,,,,,,
tâm trí lang thang,ánh sáng aza,negav,spotify,64,2025-05-15,v-pop,3W77mLoXjQEkNjxvYRifjG,1,40.0,,13.0,38.34,,,13.0,40.0,163.0,7846779.0,7.0,,,,,,,
nhiều hơn,low g,,"apple, spotify",59,2025-10-21,"vietnamese hip hop, v-pop, vietnam indie",3PvxUf6vng5MtK1xDtbmFh,2,59.0,,12.0,37.72,6.0,59.0,6.0,73.0,18.0,655055.0,53.0,,,,,,,
