title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
Anh Đã Chờ Rất Lâu,Sixkie Dawgz,nan,"new_hits_scraped, new_hits_scraped_old",51,2025-03-27,v-pop,5NWkYMp7RhANkoJqk3ZBGh,anhdachoratlau||sixkiedawgz,"('anh đã chờ rất lâu', 'dawgz, sixkie', 'nan')"
Anh Đã Từ Bỏ Rồi Đấy,Nguyenn,nan,"new_hits_scraped, new_hits_scraped_old",53,2023-02-14,"v-pop, vietnam indie",1YW6r5WNuGOBiofHQZkyCM,anhdatuboroiday||nguyenn,"('anh đã từ bỏ rồi đấy', 'nguyenn', 'nan')"
Anh Đếch Cần Gì Nhiều Ngoài Em,Đen,nan,new_hits_scraped_old,53,2018-11-15,"v-pop, vietnamese hip hop, vietnam indie, vietnamese lo-fi",5ppEcbmLECxrMYgDxwIJaP,anhdechcanginhieungoaiem||den,"('anh đếch cần gì nhiều ngoài em', 'đen', 'nan')"
Anh đã vừa lòng chưa?,Phí Phương Anh,"RIN9, DREAMeR","nct, zingmp3",23,2025-12-04,"v-pop, vietnamese lo-fi, vinahouse",2xKjEGY1vm5dUUYalgDcGj,anhdavualongchua||phiphuonganh,"('anh đã vừa lòng chưa?', 'anh, phí, phương', 'dreamer, rin9')"
Anh Ơi Ở Lại,Chi Pu,nan,"new_hits_scraped, new_hits_scraped_old",57,2019,"v-pop, vinahouse, vietnam indie",0VBv6oyMgeEBOIysaSV9aE,anhoiolai||chipu,"('anh ơi ở lại', 'chi, pu', 'nan')"
Anh Ở Đây Mà,Đức Phúc,nan,bsides_non_hit,29,2025-01-20,"v-pop, vietnam indie, vinahouse",3XMNQ51G4mDsSa7o7QLJiS,anhodayma||ducphuc,"('anh ở đây mà', 'phúc, đức', 'nan')"
BAD LIAR,EM XINH SAY HI,nan,bsides_non_hit,44,2025-08-04,v-pop,4BWrtuzpv7WnBxB9uGB7Zf,badliar||emxinhsayhi,"('bad liar', 'em, hi, say, xinh', 'nan')"
BADBYE,WEAN,nan,"new_hits_scraped, new_hits_scraped_old",56,2023-06-09,"v-pop, vietnamese hip hop, vietnam indie",78lw4wahFNotXb0mOEtPkM,badbye||wean,"('badbye', 'wean', 'nan')"
BAY KHÔNG CẦN CÁNH,RHYDER,nan,bsides_non_hit,37,2025-07-03,"v-pop, vietnamese hip hop",4yVjUXGvBqnHhoP322fSZr,baykhongcancanh||rhyder,"('bay không cần cánh', 'rhyder', 'nan')"
BIẾT ĐIỀU,JSOL,nan,bsides_non_hit,40,2025-09-16,"v-pop, vietnamese hip hop, vietnamese lo-fi, vietnam indie",6gkzQSY3CGAWCLYQvQPPor,bietdieu||jsol,"('biết điều', 'jsol', 'nan')"
BLACKJACK,SOOBIN,nan,new_hits_scraped_old,46,2020-12-15,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",5pjrSk2jdRrFUfQuCQrQC9,blackjack||soobin,"('blackjack', 'soobin', 'nan')"
Baby Gọi Cho Anh,RAP VIỆT,nan,new_hits_scraped_old,46,2023-08-09,"vietnamese hip hop, v-pop",6MgCMS8q3NA89TnVuPLvIN,babygoichoanh||rapviet,"('baby gọi cho anh', 'rap, việt', 'nan')"
Bad Day - Prod. MinBoo,Double2T,nan,bsides_non_hit,17,2024-04-14,"v-pop, vietnamese hip hop",6xsIZI07pWiS3Br1gvrhMS,baddayprodminboo||double2t,"('bad day prod. minboo', 'double2t', 'nan')"
Bae Don't Cry,Quang Hùng MasterD,nan,zingmp3,0,2025-11-22,"v-pop, vinahouse, vietnamese hip hop",0KpTLc4j4v74wNtQYMXthI,baedontcry||quanghungmasterd,"(""bae don't cry"", 'hùng, masterd, quang', 'nan')"
Bay Không Ngần Ngại,Double2T,nan,bsides_non_hit,13,2025-01-20,"v-pop, vietnamese hip hop",4ocI4GPtj2w7t92Xuio61q,baykhongnganngai||double2t,"('bay không ngần ngại', 'double2t', 'nan')"
Be A Fool,Vũ Cát Tường,nan,new_hits_scraped_old,19,2018-10-18,"v-pop, vietnam indie",2dURSB1lDn5qiOyHLEZ34I,beafool||vucattuong,"('be a fool', 'cát, tường, vũ', 'nan')"
Bo Xì Bo,Hoàng Thùy Linh,nan,new_hits_scraped_old,47,2022-08-11,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",4X2iEvLVDm1Acd8Xmxw1ZC,boxibo||hoangthuylinh,"('bo xì bo', 'hoàng, linh, thùy', 'nan')"
Boomerang,B Ray,nan,bsides_non_hit,23,2025-05-25,"vietnamese hip hop, v-pop, vinahouse, vietnam indie",6jDcy9j4sL4vSRfzDDh54l,boomerang||bray,"('boomerang', 'b, ray', 'nan')"
