track_id,track_name,artist_name,artist_id,release_date,spotify_popularity,duration_formatted
4fG8iHZK5JAj0NLBJUiipu,Không Thuộc Về Nơi Này,B Ray,1WvNgEoB66jmHodcj15Zi9,07/08/2025,44,0:00
3hxspVjHxJtCbgcQJ4gT9c,Selfish Man,B Ray,1WvNgEoB66jmHodcj15Zi9,07/08/2025,42,0:00
0WZiGER40RDf1JhzbKQu7u,Không Sao Đâu - Theme Song From Tet 2025 Movie “Bộ Tứ Báo Thủ”,CAPTAIN BOY,1pKPrziZw7C4GvOlBIXqP5,01/24/2025,41,0:00
5VXtBT4iERn7fJWDf5d6Vm,Bận Tâm,CoolKid,1Qia4CTwh6x0CZbD0079zi,04/24/2025,37,0:00
6ng2WPKNRRVR3kMjQCy8Ta,Flavour,CoolKid,1Qia4CTwh6x0CZbD0079zi,10/07/2025,39,0:00
5l4bJsSFiZv5GYf50gsTK3,Psycho,CoolKid,1Qia4CTwh6x0CZbD0079zi,04/24/2025,25,0:00
5e1kUuII1bqgwu8fjuFNxE,Vui Đét,CoolKid,1Qia4CTwh6x0CZbD0079zi,02/27/2025,38,0:00
4pw9O3kNtpKKKZLmtEx7Gy,Vì Anh Đau,CoolKid,1Qia4CTwh6x0CZbD0079zi,04/24/2025,37,0:00
4FHfiVbxrJ0jkBRykvurcT,Bài Ca Tôm Cá,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,38,0:00
63W04w63bG1adqL9l5ldpZ,Chân Cứng Đá Mềm,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,30,0:00
2P0J5u4zDaOj2vRNGFi0Pq,Hò Vươn Mình,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,42,0:00
4SIN99OT7i8S2M9zKUb0kd,Máu Đỏ Da Vàng,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,36,0:00
5l5YRFko3VQVyL54Dcbgb2,Mùa Gió Thổi Trên Mái Nhà,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,36,0:00
27o4Vt9SUbalX2UuSoFSd4,Nam Quốc Sơn Hà,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,36,0:00
06SwRcBuxj5C3Ht798OGOM,Rừng Vàng Biển Bạc,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,36,0:00
7t4QaaX3Gqdt8g3GcJJDrB,Việt Nam Tử Tế,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,33,0:00
06Urs1QgCb720lokvN1bXv,Điều Phi Thường Nhỏ Bé,DTAP,5L9ssI4l4DKU1za4ZwvKvG,08/19/2025,35,0:00
2nxggtnnWv6ZXbgxIoeDVy,Mở Ngàn Lộc Vui,Da LAB,6zUWZmyi5MLOEynQ5wCI5f,01/21/2025,14,3:02
5V4H6Uvwq1Hg1yZgxeFMGS,Đường Về Ocean City,Da LAB,6zUWZmyi5MLOEynQ5wCI5f,06/18/2025,15,3:06
4ocI4GPtj2w7t92Xuio61q,Bay Không Ngần Ngại,Double2T,1NM99SQTX93oCkzvNXWJCf,01/20/2025,12,3:38
2WMdRj3E7fTqcEQYjMEGA7,Những Cơn Drill Ngày Đầu,Duongg,3JkGKNawown8MgcJsDw1WT,08/05/2025,25,0:00
1VFloIPjJu3ORgQIzHqK8c,Những Cơn Đau Ngày Đầu,Duongg,3JkGKNawown8MgcJsDw1WT,07/31/2025,45,0:00
7j1T5jvVKBGmeAw0mu5PGe,Vệt Nắng Sau Lưng Đồi,Duongg,3JkGKNawown8MgcJsDw1WT,10/24/2025,29,0:00
5d0rwEzBFfotSbvBpHIQC7,Đã Đến Lúc,Duongg,3JkGKNawown8MgcJsDw1WT,10/24/2025,19,0:00
7yxwUd2OqdXX8gCRHoFKW9,Đôi Tay Từ Ngày Đầu,Duongg,3JkGKNawown8MgcJsDw1WT,10/31/2025,8,0:00
4BWrtuzpv7WnBxB9uGB7Zf,BAD LIAR,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,08/04/2025,46,0:00
6PECmWmlE4E6phMNUGTYWt,EM KHÔNG CÓ ƯA,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,07/14/2025,44,4:01
1nspJwzwAUju2DnlvI2oiv,HOURGLASS,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,08/25/2025,46,0:00
7CAFcMInTaovaLzOcVkmsC,MORSE CODE,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,08/25/2025,44,0:00
32JgoZRk5YZ5DOUlZUPY6O,TADIDA,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,08/25/2025,45,4:32
78tuqCCWm2SeJulE8rsYmr,TÍN HIỆU YÊU,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,08/11/2025,43,3:06
4lvjLN7gKQpg6IZAcXdijn,ĐIỀU EM LUÔN MONG MUỐN,"EM XINH ""SAY HI""",1I5CkmtLVWLUygTT3cLr5X,06/30/2025,44,0:00
7w0MWZpfmhMmTaH6lKEYp1,Chỉ cần bên anh (Will you marry me?),ERIK,1L1VfizWn4DkFt602yD80U,09/14/2025,38,0:00
4r2F1NkPrZ6YqbJElyOPFP,"Tha Thứ Cho Nhau Được Không? - From ""Chốt Đơn!""",ERIK,1L1VfizWn4DkFt602yD80U,08/13/2025,39,0:00
2vwDkM8zxUbqfCbkTs9d62,Lần Đầu Tiên (feat. Muộii),Emcee L (Da LAB),4bPYvyUn1mWwUwIW57oST2,02/14/2025,29,0:00
2vVB7IvcIABRW0oEf4YC4m,CÓ LẼ ANH,Fishy,7kSmS2G15QIw8rllwGex9r,08/18/2025,42,0:00
094HP6ERLBubDKzOwd9twp,Vết Thương - Lofi,Fishy,7kSmS2G15QIw8rllwGex9r,07/03/2025,17,0:00
3pI9OsxUZ4iJPWeke83L3W,Ngồi Đợi Anh Đến,Hannie,7tRkypqswDC2uWg9g9H0Vs,02/14/2025,12,3:20
53Oiwsju8Tk81ssbTgeYG1,Can't Let You Go,Hngle,7kBsX15IDun9YxuVmKCMYJ,05/21/2025,19,3:37
09c3xrXtBQMrhAnhfEfWnb,Còn Lại Gì,Hngle,7kBsX15IDun9YxuVmKCMYJ,01/10/2025,28,2:22
7MEH5PGxCSxRNWc44lVosY,Nụ Cười,Hngle,7kBsX15IDun9YxuVmKCMYJ,11/01/2025,37,2:38
61PnittYgKfF3xeaalv1kk,One More Time,Hngle,7kBsX15IDun9YxuVmKCMYJ,03/05/2025,45,3:39
20jk6uAP5kwmHzvwONE8Lc,Kiên Trì Là Dì Thành Công,Hoà Minzy,3BWBxpXDxofgji3RKZPIz8,01/09/2025,14,3:57
48tBvLiR57xh2yeAkrQe0R,Nếp Nhà,Hoà Minzy,3BWBxpXDxofgji3RKZPIz8,05/08/2025,33,4:28
14NNoIFQBU1qcDwXJ8JaLY,Cuối Tuần (1825),Hoàng Dũng,6OzE2OdvV2tGAxSBsBuZ74,07/09/2025,37,0:00
3oMF8j1O3yeXWmu8qb76oo,MIỀN ĐẤT KỲ DIỆU,Hoàng Dũng,6OzE2OdvV2tGAxSBsBuZ74,01/23/2025,28,0:00
2rWMDV9ZC3cJ3EqP5VXFOT,Sâm-panh,Hoàng Dũng,6OzE2OdvV2tGAxSBsBuZ74,07/09/2025,37,0:00
1vWsMEtHa49zIq1xaZyPgJ,Tách,Hoàng Dũng,6OzE2OdvV2tGAxSBsBuZ74,07/09/2025,46,0:00
4fn4uLLYxpqId0YDrA2NjX,Đừng Giữ Chỗ,Hoàng Dũng,6OzE2OdvV2tGAxSBsBuZ74,07/09/2025,44,0:00
0WkQd15i4HOBgzUC7vVx2H,Con Yêu Mẹ Nhiều,Hoàng Tôn,6xRZoWlE9twEkMC5NW4Z9f,06/08/2025,11,0:00
0tdQGlSVISVmCRxc6MFEZj,Em Không Quay Về,Hoàng Tôn,6xRZoWlE9twEkMC5NW4Z9f,01/09/2025,31,0:00
5Z5pLZBFT1bZNfpvsxgMDw,Em Không Quay Về (feat. Yanbi) [Pt. 2],Hoàng Tôn,6xRZoWlE9twEkMC5NW4Z9f,01/09/2025,6,0:00
6KyqAO52R41PJ3Qu1bQhXH,Em Đi Về Đâu?,Hoàng Tôn,6xRZoWlE9twEkMC5NW4Z9f,06/08/2025,21,0:00
3UErCGj5V2Le7wn0vu3qwr,Một Lời Hứa,Hà Anh Tuấn,3FwYnbtGNt8hJfjNuOfpeG,05/17/2025,24,0:00
67Wq8eOJTIfx0xbyOGH91l,Anh Đã Mang Đi Thứ Gì,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/20/2025,30,5:28
3E2daOkJQJvxdnPQ3dAgzi,Bước Qua Tổn Thương Có Dễ Dàng,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/20/2025,17,0:00
1bQCC6aFJ1G0E43vTR6ikj,Chiều Xuân - Xuân Yêu Thương,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,01/25/2025,8,3:26
6xZcdqWVDw01HP3ToyZA3v,Cái Tên Khắc Sâu Trong Tim,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/24/2025,37,0:00
0CJUWGMl6YYUA1T7occWME,Lối Cũ Ta Về,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,01/25/2025,21,0:00
3Z67BVgj57vnUYmWmHlmye,Lối Nào Bình Yên,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/11/2025,35,0:00
1IkQgm1WkJFXZ55IUOqg0f,Mashup Chưa Quên Người Yêu Cũ & Lâu Lâu Nhắc Lại,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/20/2025,20,6:23
6ATKM7KKhbeQxTirYI1c27,Mashup Dĩ Vãng Nhạt Nhòa & Mưa Phi Trường,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/20/2025,12,0:00
5Y45dq4VmvIN6HsdsuguOh,Mashup Xa Vắng & Lãng Quên Chiều Thu,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/20/2025,29,4:26
3hWaaWY1gkjpHWHNjcPd0M,Sau Ngần Ấy Năm Lofi,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,10/23/2025,21,0:00
6EckHXHQ0Xd7D74P4TKnxe,Và Tôi Cũng Yêu Em - Yêu Em Dài Lâu,Hà Nhi,3XOuN4VDN4EL0GjKov5mWL,01/25/2025,24,4:33
6gkzQSY3CGAWCLYQvQPPor,BIẾT ĐIỀU,JSOL,6EybZ5zwPNEtEngfrEMevN,09/16/2025,41,0:00
