artist_id,artist_name,genres,followers,popularity
7DSbFoeSH8Q0JahSwax20N,Haozi,"vinahouse, g-house",4076,35
7E4u2CbTv2fxJ1icOJoABa,Ông Cao Thắng,v-pop,4047,30
7eNVs44Liz46dWLt9LAONW,Dương Triệu Vũ,"v-pop, vietnamese bolero",34363,28
7ePNpxiX2yCffJdRLZCqxv,Nguyeen,"vietnamese lo-fi, v-pop, lo-fi, bolero, vietnamese bolero",738,35
7eQ6Y80SVBrNC119ko7lq2,HUSTLANG Dajoe,"vietnamese hip hop, v-pop",452,6
7eTjqPWwUFH0g6EV8IXykv,Thúy Anh,v-pop,329,13
7f1IdZrA1BLlgI9VVhl3wJ,Trịnh Vĩnh Trinh,"vietnamese bolero, bolero",7864,16
7f3vs7IeQScnYHmehKrAuv,Kwzzzy,"vietnamese hip hop, vietnam indie, v-pop",1664,19
7fd70imdv1SLkPRVFMLo5x,Hà Vân,"vietnamese bolero, bolero",5360,15
7FFvhutDgvnJRBRSr8VEg9,Ngọc Huyền,"vietnamese bolero, bolero",6387,13
7FKQ3rlfjiDaZI0uQqOnDH,Beta Remix,"vinahouse, v-pop",19931,45
7fMznGrNJs6H2kZbiqDPgE,Mạc Mai Sương,"vietnam indie, v-pop",11605,38
7Fsnh2dqeAnr035KLQnpoY,PAR FLEX,"vietnamese hip hop, v-pop",250,15
7g4wZfZd0bVoz5by4WXE2M,Ngọc Đắc,v-pop,92,1
7G5AEkY5idIoHytk72GGyf,Xuân Định K.Y,"v-pop, vinahouse",810,23
7g8l93dx1ctAi9b8iaHDHN,Hazard Clique,vietnamese hip hop,5220,14
7gg8wfjm5yq9VaEMmQGT0M,Lan Vy,"vietnamese bolero, vinahouse",675,14
7H9jPV9qWyp6V629038aXU,Lynk Lee,"v-pop, vietnamese hip hop, vietnam indie",194248,43
7hcK77zeh3khl6cf6wGahR,DJ Feliks,"vietnamese hip hop, v-pop",194,19
7hOFO1zypDqLsz4I3RCHsL,NeeNee,"v-pop, vinahouse",45,19
7HOheQB1ZDr2TWKxU7HQxg,Trang Anh,v-pop,439,28
7Icw7iVmCgkKkfRrYvlKZU,Thể Thiên,"v-pop, vietnamese hip hop, vietnam indie",6884,25
7idMddC7XksYOUjJRzN1yA,Kevindauroi,"v-pop, vietnam indie",3489,35
7IEQTp7QaySkjJXdBH9gwQ,Võ Trọng Trí,v-pop,450,10
7iGWE6DvwRabk2DIgbTJ1n,Tuấn Ngọc,"vietnamese bolero, bolero, v-pop",115204,34
7iPnUabfXY4vLihtfYOonY,Bảo Hân Helia,"vietnamese hip hop, v-pop, vietnam indie, vietnamese lo-fi",1145,32
7iPTxzfZ1OG4gNiWU64nmk,Mcee Blue,"vietnamese hip hop, v-pop",4488,39
7ItrzcOsFJ3WTR2qWfmJyj,Lê Văn Đăng,vinahouse,5,21
7J2i5RaWXySyTQTOBYGMw3,Justin Nguyen,"vietnamese bolero, v-pop",312,3
7J7VqtmjMpNZ5vnysni8BJ,mikemadeahitter,"vietnamese hip hop, vietnam indie",30,19
7j9WB14yt8LxMmeEaUsLkQ,Hợp Ca Thúy Nga,"vietnamese bolero, v-pop",277,19
7JH5XbxwRWf1PWZFuvryV4,Hoàng Anh Tùng,v-pop,26,2
7jjAcAWAtaWi4YkG71Io7S,Nah,vietnamese hip hop,2289,17
7JJKtE8MIiniVsZ1audzca,Dythang,v-pop,7,2
7jO8Nah2Mu2EhKRK5MLCUR,KeepitLowkey,"vietnamese hip hop, v-pop",17,9
7JpgJSzLFVxFcMIRUhq7vV,Lương Bích Hữu,"v-pop, vinahouse, vietnamese bolero",32370,34
7JRDlOAUMJuLKmapm6H2VG,D Blue,"vietnamese lo-fi, vietnamese hip hop, v-pop, vietnam indie",52355,42
7jULSagYE6tHmQM8lxyBIH,Nhi$m,"vietnamese hip hop, v-pop",345,44
7JYvtUIBcGDPeh79HNDaf3,CHANEE,"vietnamese hip hop, v-pop, vietnamese lo-fi, vietnam indie",2783,26
7jZQdFzQZE7hwJLTsU7DDI,Trần Ngọc Ánh,v-pop,88,11
7kBsX15IDun9YxuVmKCMYJ,Hngle,v-pop,23531,57
7kdaxyNyACi5ZVN0hQ9dMg,Peakrozes,"vietnamese hip hop, v-pop",257,25
7kE39OIlliCniD1AhI4jsJ,Hakoota,"v-pop, vietnam indie",6185,33
7KHN9D81AGKzY7bUSL78FA,Liên Quân Mobile,"v-pop, vietnamese hip hop, vietnam indie",11292,31
7KOMoBXp30tI5E6SA0NQVn,Hương Lan,"vietnamese bolero, bolero",56117,32
7kSmS2G15QIw8rllwGex9r,Fishy,"v-pop, vietnam indie, vietnamese hip hop",20197,51
7ksxEdDMg5BrrasCFby5Qi,NhacPro Remix,vinahouse,483,37
7l7DZWQaVIS13zFgSf7eb4,Tuấn Hưng,"v-pop, vietnamese bolero, vinahouse",325162,47
7l7JnnrdPYWBSFDfXuce4T,Tài Smile,v-pop,215,19
7L9mDr84hAjDhXPvPPctXN,Vũ Đặng Quốc Việt,"vietnamese lo-fi, v-pop",883,25
7Lc8DavPnj3mhrlqkaBsY4,quanxmas,v-pop,34,12
7LLfmKhGZI11XO0dO4xDI7,Anh Tú,"v-pop, vietnamese hip hop",227779,45
7lq25uVNvzRoAJgr4CYr8e,Thái Đinh,"vietnam indie, v-pop",227297,35
7luDDYsfkSivBsoTz3BKMq,Khắc Việt,"v-pop, vinahouse, vietnamese bolero",262512,47
7lxlFPJh81wytNNasz8Es7,Lâm Vỹ Dạ,v-pop,1893,10
7mehX5dm0q6g9bqsqYjO6W,Truong Quynh Anh,v-pop,4355,8
7miq89w13o4vY45zpgBMn7,Nguyen Dinh Thanh Tam,v-pop,399,5
7MkneAWCJX7dUEpx04bfQ9,Aki,"vietnamese hip hop, v-pop, vietnam indie, italo disco, hi-nrg",3346,17
7MmYt8AEBM64SmtswuUUEH,Dũng,v-pop,933,17
7MNTRRkNNnPM4y7OcPzie7,Ha Okio,"v-pop, vietnam indie, vietnamese hip hop",1097,12
7MsHVZKh1TeKgGqm65kZnY,Vũ Duy Khánh,"v-pop, vinahouse, vietnamese bolero, vietnamese lo-fi",37707,39
7MtgS1BXZAtslgSSTpdikk,CODYNAMVO,v-pop,25770,47
7N1y3zllMyTEh7WSRaiu3F,Nsta,"vietnamese hip hop, jersey club, v-pop",105,2
7nbtbgmOxr7qM56chCAI1C,Anh Khang,"v-pop, vietnam indie",46929,35
7nmzrRGLg5bxMowf8Mrnc9,Lu1s,"v-pop, new wave",78,17
7oAXQMeyJ8k2Q5WH5uWKBM,THE DREAMLAND,v-pop,199,13
