artist_id,artist_name,total_followers,popularity,genres,spotify_url,image_url
2Gvp79Cmni6PX13CAlSGex,Bùi Anh Tuấn,405890,53,v-pop,https://open.spotify.com/artist/2Gvp79Cmni6PX13CAlSGex,https://i.scdn.co/image/ab6761610000e5ebf2db4875c81f4d103aefc81a
2BoU3GzyaG397l5ci1twa9,Shartnuss,12398,53,"v-pop, vietnam indie",https://open.spotify.com/artist/2BoU3GzyaG397l5ci1twa9,https://i.scdn.co/image/ab6761610000e5eb418ea7fde203b96661e581f0
3nGqUwkJHiLPDECMVrX1Sq,Masew,677958,53,"v-pop, vietnamese hip hop, vinahouse, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/3nGqUwkJHiLPDECMVrX1Sq,https://i.scdn.co/image/ab6761610000e5eb5994d6460124b6bca750c455
1n9JKdEdLxrbgJiqz1WZFJ,Tăng Duy Tân,413323,53,"v-pop, vinahouse, vietnamese lo-fi",https://open.spotify.com/artist/1n9JKdEdLxrbgJiqz1WZFJ,https://i.scdn.co/image/ab6761610000e5ebf62a5dda940d17262800d582
7kSmS2G15QIw8rllwGex9r,Fishy,16302,53,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/7kSmS2G15QIw8rllwGex9r,https://i.scdn.co/image/ab6761610000e5eb5ca410a8b41c0a4e8e3e0c31
3mibIJiduF0MVLLAvHZAxw,Noo Phước Thịnh,941780,53,"v-pop, vinahouse",https://open.spotify.com/artist/3mibIJiduF0MVLLAvHZAxw,https://i.scdn.co/image/ab6761610000e5eb8db5f2015bbfe707163221f8
5GBXwBVQufRCmwI1bNRIUo,Only C,598669,53,"v-pop, vietnamese hip hop, vinahouse",https://open.spotify.com/artist/5GBXwBVQufRCmwI1bNRIUo,https://i.scdn.co/image/ab6761610000e5ebc7c8ae4ffa1d7f3bfd4aadfa
0qAJ604EZMbkbpZ9NN6W6d,WOKEUP,20715,53,"vietnamese hip hop, v-pop",https://open.spotify.com/artist/0qAJ604EZMbkbpZ9NN6W6d,https://i.scdn.co/image/ab6761610000e5ebdfe775d97f72658dc91ec3ea
0r63ReVRjxrS4ATbLrdcrL,Hoàng Thùy Linh,879307,53,"v-pop, vinahouse, vietnamese hip hop, vietnam indie",https://open.spotify.com/artist/0r63ReVRjxrS4ATbLrdcrL,https://i.scdn.co/image/ab6761610000e5eb0910bc39eeb9ad6af0ed34b3
4e5LAUvM35jleGg8gElTsP,Miu Lê,490870,53,"v-pop, vietnamese hip hop, vinahouse",https://open.spotify.com/artist/4e5LAUvM35jleGg8gElTsP,https://i.scdn.co/image/ab6761610000e5eb2fc3ef8a80c35243e5e899b8
1BcjfrXV4Oe3fK0c8dnxFF,Phương Mỹ Chi,239689,53,"v-pop, vietnamese bolero",https://open.spotify.com/artist/1BcjfrXV4Oe3fK0c8dnxFF,https://i.scdn.co/image/ab6761610000e5eb63b7a2cd3990ab3dd580d3de
0tBmmwc8j8zbJxISwdsvjA,Andiez,401208,53,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/0tBmmwc8j8zbJxISwdsvjA,https://i.scdn.co/image/ab6761610000e5ebe0234d1d97449dec5e9a4417
5fa13NJjmn2uQ3dxZDi2Ge,Bích Phương,1286246,53,"v-pop, vietnamese hip hop, vinahouse, vietnam indie",https://open.spotify.com/artist/5fa13NJjmn2uQ3dxZDi2Ge,https://i.scdn.co/image/ab6761610000e5eb906404e01b48537145d163ba
3LbBKYlyMaATS8IIe7HJ0d,Hoàng Duyên,132695,52,"v-pop, vietnam indie, vietnamese lo-fi",https://open.spotify.com/artist/3LbBKYlyMaATS8IIe7HJ0d,https://i.scdn.co/image/ab6761610000e5eb359afbad4ad160ea1550fe29
5jTFNkoZebPnX90CbB3F2A,MONO,1067332,52,"v-pop, vietnamese hip hop, vinahouse",https://open.spotify.com/artist/5jTFNkoZebPnX90CbB3F2A,https://i.scdn.co/image/ab6761610000e5ebdeac86c3a106f1db0454a753
7571XEqHqL61NDiLtWXhS5,(S)TRONG,23344,52,"v-pop, vietnam indie",https://open.spotify.com/artist/7571XEqHqL61NDiLtWXhS5,https://i.scdn.co/image/ab6761610000e5eb9e132200cbdaf17b698b93b4
4en2ObzSYlIYbCGknXjgG9,Pháo,310395,52,"v-pop, vinahouse, vietnamese hip hop",https://open.spotify.com/artist/4en2ObzSYlIYbCGknXjgG9,https://i.scdn.co/image/ab6761610000e5eb69835ec3f45e1bdd048cccd6
2dC1IBU9NOD9xsQJ5RE7j7,Puppy,118965,52,"v-pop, vietnamese hip hop",https://open.spotify.com/artist/2dC1IBU9NOD9xsQJ5RE7j7,https://i.scdn.co/image/ab6761610000e5eb14cc527aa87afe69def5ed51
1CWwyDPjCowRTO4p6A7r6g,Mỹ Tâm,1985748,52,"v-pop, vietnamese bolero, vietnam indie",https://open.spotify.com/artist/1CWwyDPjCowRTO4p6A7r6g,https://i.scdn.co/image/ab6761610000e5eb5d4a6001ce67c78aa3873c6a
