Date,Rank,Title,Artist,Featured_Artists,Source,Duration,URL,Total_Likes,Total_Plays,chart_date
2025-10-31,85.0,RƠI TỰ DO,EM XINH SAY HI,LyHan,ZINGMP3,03:21,https://zingmp3.vn/bai-hat/ROI-TU-DO-EM-XINH-SAY-HI-LyHan/Z88W9I9A.html,30000.0,2100000.0,2025-12-09
2025-10-31,86.0,Kệ Nhắm Mắt Yêu Luôn,Hana Cẩm Tiên,Tuệ Ny,ZINGMP3,03:20,https://zingmp3.vn/bai-hat/Ke-Nham-Mat-Yeu-Luon-Hana-Cam-Tien-Tue-Ny/Z87DAEU6.html,33000.0,1200000.0,2025-12-09
2025-10-31,87.0,THIÊU THÂN,ANH TRAI SAY HI,"Khoi Vu, B Ray, Ryn Lee, Phạm Đình Thái Ngân, Bùi Duy Ngọc",ZINGMP3,03:23,https://zingmp3.vn/bai-hat/THIEU-THAN-ANH-TRAI-SAY-HI-Khoi-Vu-B-Ray-Ryn-Lee-Pham-Dinh-Thai-Ngan-Bui-Duy-Ngoc/Z89ZDF6A.html,11000.0,681000.0,2025-12-09
2025-10-31,88.0,Hải Trình Tan Vỡ,Trungg I.U,Phạm Anh Duy,ZINGMP3,04:18,https://zingmp3.vn/bai-hat/Hai-Trinh-Tan-Vo-Trungg-I-U-Pham-Anh-Duy/Z88D8WAO.html,8000.0,672000.0,2025-12-09
2025-10-31,89.0,Ngã Về Không,Đặng Thiên Chí,,ZINGMP3,04:27,https://zingmp3.vn/bai-hat/Nga-Ve-Khong-Dang-Thien-Chi/Z8ZIZB80.html,89000.0,5400000.0,2025-12-09
2025-10-31,90.0,Ướt Lòng,Văn Mai Hương,,ZINGMP3,04:39,https://zingmp3.vn/bai-hat/Uot-Long-Van-Mai-Huong/Z87UBE9U.html,23000.0,2200000.0,2025-12-09
2025-10-31,92.0,BẮC THANG LÊN HỎI ÔNG TRỜI,EM XINH SAY HI,"Bích Phương, Juky San, LAMOON, Mỹ Mỹ, Quỳnh Anh Shyn",ZINGMP3,03:45,https://zingmp3.vn/bai-hat/BAC-THANG-LEN-HOI-ONG-TROI-EM-XINH-SAY-HI-Bich-Phuong-Juky-San-LAMOON-My-My-Quynh-Anh-Shyn/Z87C0DFO.html,34000.0,2500000.0,2025-12-09
2025-10-31,93.0,Em Nhắc Anh,Nana Liu,HTM,ZINGMP3,02:40,https://zingmp3.vn/bai-hat/Em-Nhac-Anh-Nana-Liu-HTM/Z88FO96F.html,15000.0,554000.0,2025-12-09
2025-10-31,94.0,CHILL GUYS NGON ZAI,ANH TRAI SAY HI,"BigDaddy, OgeNus, B Ray, Phúc Du",ZINGMP3,03:49,https://zingmp3.vn/bai-hat/CHILL-GUYS-NGON-ZAI-ANH-TRAI-SAY-HI-BigDaddy-OgeNus-B-Ray-Phuc-Du/Z89WA67I.html,14000.0,754000.0,2025-12-09
2025-10-31,95.0,Tưởng Rằng Sau Cơn Mưa,Lê Gia Bảo,BMZ,ZINGMP3,05:50,https://zingmp3.vn/bai-hat/Tuong-Rang-Sau-Con-Mua-Le-Gia-Bao-BMZ/Z86AUFFO.html,18000.0,1800000.0,2025-12-09
