match_key,spotify_track_id,spotify_release_date,spotify_genres,spotify_popularity,best_peak_rank,total_platforms,total_appearances,Total_Streams,Total_Plays,score_rank,score_sustain,score_platform,score_historical,Base_Score,label
votay||emxinhsayhi,,,,,inf,0,0,,1400000.0,0,0,0,0,0,0
cucvangcuaanh||nanaliu,,,,,inf,0,0,,1400000.0,0,0,0,0,0,0
kenhammatyeuluon||hanacamtien,,,,,inf,0,0,,1300000.0,0,0,0,0,0,0
yeuthatlongdaudequen||themen,,,,,inf,0,0,,1300000.0,0,0,0,0,0,0
viettiepcauchuyenhoabinh||nguyenvanchung,,,,,inf,0,0,,2000000.0,0,0,0,0,0,0
nhatoicotreomotlaco||dtap,,,,,inf,0,0,,2200000.0,0,0,0,0,0,0
omlaytraitim||kairon,,,,,inf,0,0,,2200000.0,0,0,0,0,0,0
thaanhra||quanghungmasterd,,,,,inf,0,0,,2200000.0,0,0,0,0,0,0
uotlong||vanmaihuong,,,,,inf,0,0,,2300000.0,0,0,0,0,0,0
24h||lyly,,,,,inf,0,0,2323267.0,,0,0,0,0,0,0
quenroikhodaunamay||vickynhung,,,,,inf,0,0,,1700000.0,0,0,0,0,0,0
tuongrangsauconmua||legiabao,,,,,inf,0,0,,1900000.0,0,0,0,0,0,0
ilysmbihtlyginterlude||min,,,,,inf,0,0,,,0,0,0,0,0,0
sangadoianh||duongmasterd,,,,,inf,0,0,,,0,0,0,0,0,0
haitrinhtanvo||trunggiu,,,,,inf,0,0,,756000.0,0,0,0,0,0,0
cukhochetdiem||caothaison,,,,,inf,0,0,,821000.0,0,0,0,0,0,0
ngaybinhthuongquennguoiminhthuong||phathuyt4,,,,,inf,0,0,,795000.0,0,0,0,0,0,0
thieuthan||anhtraisayhi,,,,,inf,0,0,,756000.0,0,0,0,0,0,0
nuaquanbai||trinhdinhquang,,,,,inf,0,0,,789000.0,0,0,0,0,0,0
chillguysngonzai||anhtraisayhi,,,,,inf,0,0,,754000.0,0,0,0,0,0,0
vucthamcuabinhyen||jackj97,,,,,inf,0,0,,2600000.0,0,0,0,0,0,0
chobaolau||utnhimino,,,,,inf,0,0,,3400000.0,0,0,0,0,0,0
hoa||chungthanhduy,,,,,inf,0,0,,3200000.0,0,0,0,0,0,0
ngavekhong||dangthienchi,,,,,inf,0,0,,5600000.0,0,0,0,0,0,0
pinduphong||duongdomic,,,,,inf,0,0,5691628.0,,0,0,0,0,0,0
xindunglangim||soobin,,,,,inf,0,0,6098656.0,,0,0,0,0,0,0
emconnhoanhkhongremastered||hoangton,,,,,inf,0,0,6119864.0,,0,0,0,0,0,0
emthuacota1||thiendinh,,,,,inf,0,0,,113000.0,0,0,0,0,0,0
vaichinhtoinghiep||anvu,,,,,inf,0,0,,123000.0,0,0,0,0,0,0
motminhoday||builanhuong,,,,,inf,0,0,,164000.0,0,0,0,0,0,0
buonthatday||sofia,,,,,inf,0,0,,134000.0,0,0,0,0,0,0
cuaembonmua||nb3hoaibao,,,,,inf,0,0,,210000.0,0,0,0,0,0,0
motminhchangsao||nganngan,,,,,inf,0,0,,193000.0,0,0,0,0,0,0
noinhokhongten||will,,,,,inf,0,0,,183000.0,0,0,0,0,0,0
sadnhan||strong,,,,,inf,0,0,,180000.0,0,0,0,0,0,0
longuoiuotao||nguyenthacbaongoc,,,,,inf,0,0,,234000.0,0,0,0,0,0,0
manhtinhsaidoi||yennhi,,,,,inf,0,0,,214000.0,0,0,0,0,0,0
emnhacanh||nanaliu,,,,,inf,0,0,,667000.0,0,0,0,0,0,0
thautinh||trunghieu,,,,,inf,0,0,,436000.0,0,0,0,0,0,0
conmuacuoi||justatee,,,,,inf,0,0,355886.0,,0,0,0,0,0,0
giamaanh||captainboy,,,,,inf,0,0,416932.0,,0,0,0,0,0,0
chianhlamemkhoc||damvinhhung,,,,,inf,0,0,,288000.0,0,0,0,0,0,0
cudotaiconmuasolopiano||emxinhsayhi,,,,,inf,0,0,,262000.0,0,0,0,0,0,0
nhieuhon||lowg,,,,,inf,0,0,655055.0,,0,0,0,0,0,0
tambo||miina,,,,,inf,0,0,,612000.0,0,0,0,0,0,0
lovemyfriend||shayda,,,,,inf,0,0,736208.0,,0,0,0,0,0,0
elakhongthe||anhquanidol,,,,,inf,0,0,4167913.0,,0,0,0,0,0,0
khobau||trong,,,,,inf,0,0,5835805.0,,0,0,0,0,0,0
yeuroidedo||damvinhhung,,,,,inf,0,0,,5800000.0,0,0,0,0,0,0
coconyeuem||nguyenkieuoanh,,,,,inf,0,0,,963000.0,0,0,0,0,0,0
bacthanglenhoiongtroi||emxinhsayhi,,,,,inf,0,0,,2600000.0,0,0,0,0,0,0
changnoaingoaiem||legiabao,,,,,inf,0,0,,876000.0,0,0,0,0,0,0
kesaytinh||quocthien,,,,,inf,0,0,,2600000.0,0,0,0,0,0,0
ghequa||pc,,,,,inf,0,0,13822966.0,,0,0,0,0,0,0
ngayther||kidsai,,,,,inf,0,0,85421.0,,0,0,0,0,0,0
chominhem||binz,,,,,inf,0,0,9362515.0,,0,0,0,0,0,0
anhmuonnhinthayem||thewind,,,,,inf,0,0,10573813.0,,0,0,0,0,0,0
vetmua||vucattuong,,,,,inf,0,0,14124849.0,,0,0,0,0,0,0
exshatemept2||amee,,,,,inf,0,0,13559060.0,,0,0,0,0,0,0
tinhnhanoi||orange,,,,,inf,0,0,,,0,0,0,0,0,0
khocblock||phungkhanhlinh,,,,,inf,0,0,,,0,0,0,0,0,0
nuocmatcasau||hieuthuhai,,,,,inf,0,0,,,0,0,0,0,0,0
muamuaay||vu,,,,,inf,0,0,,,0,0,0,0,0,0
theplayahspecialperformance||soobin,,,,,inf,0,0,,,0,0,0,0,0,0
missingyou||phuongly,,,,,inf,0,0,,,0,0,0,0,0,0
thatkhonggiongaifromepthacodon||vickynhung,,,,,inf,0,0,,,0,0,0,0,0,0
cudotaiconmua||phuongly,,,,,inf,0,0,,,0,0,0,0,0,0
nguoibinhthuong||vucattuong,,,,,inf,0,0,7417916.0,,0,0,0,0,0,0
emdachoanhbaolau||anhtraisayhi,,,,,inf,0,0,,56000.0,0,0,0,0,0,0
mentaymenchan||phamquynhanh,,,,,inf,0,0,,63000.0,0,0,0,0,0,0
vailandondua||soobin,,,,,inf,0,0,14541672.0,,0,0,0,0,0,0
thanhxuanlaanh||2t,,,,,inf,0,0,,,0,0,0,0,0,0
chimsau||rptmck,,,,,inf,0,0,,,0,0,0,0,0,0
peacenlove||lowg,,,,,inf,0,0,,,0,0,0,0,0,0
chipheo||dinhtiendatmrdee,,,,,inf,0,0,,,0,0,0,0,0,0
tungquen||wrenevans,,,,,inf,0,0,,,0,0,0,0,0,0
yeu5||rhymastic,,,,,inf,0,0,,,0,0,0,0,0,0
chamhoa||mono,,,,,inf,0,0,,,0,0,0,0,0,0
nangtho||hoangdung,,,,,inf,0,0,,,0,0,0,0,0,0
giuanhchongayhomqua||hoangdung,,,,,inf,0,0,,,0,0,0,0,0,0
golden||huntrx,,,,,inf,0,0,,,0,0,0,0,0,0
text07||wn,,,,,inf,0,0,,,0,0,0,0,0,0
feelathome||bray,,,,,inf,0,0,,,0,0,0,0,0,0
doanketmoi||hoangdung,,,,,inf,0,0,,,0,0,0,0,0,0
chucphuc||pialinh,,,,,inf,0,0,,,0,0,0,0,0,0
tronvenchinhminh||huonggiang,,,,,inf,0,0,,,0,0,0,0,0,0
nhieuchuyen||theflob,,,,,inf,0,0,,,0,0,0,0,0,0
honbatcuai||chauduong,3YOUEJQbfkwOnpEVnnMBB8,2025-11-06,"vinahouse, v-pop, vietnam indie",22.0,inf,0,0,,,0,0,0,0,0,0
khongdaunuaroi||52hz,,,,,inf,0,0,,,0,0,0,0,0,0
roitudo||lyhan,,,,,inf,0,0,,,0,0,0,0,0,0
gasanca||lambaongoc,,,,,inf,0,0,,,0,0,0,0,0,0
