Title,Artist,Appearance_Count,Platform_Count,Platforms,Date_Count,First_Seen,Last_Seen,Best_Rank,Avg_Rank,Best_Platform,Total_Hit_Score,Avg_Hit_Score,Spotify_Peak_Position,Spotify_Total_Streams,Spotify_Days_On_Chart,Spotify_Peak_Count,AppleMusic_Peak_Position,AppleMusic_Days_On_Chart,AppleMusic_Peak_Count,ZingMP3_Total_Plays,ZingMP3_Total_Likes,NCT_Total_Likes,YouTube_Total_Views,YouTube_Total_Likes,Duration,Spotify_URL,ZingMP3_URL,NCT_URL,YouTube_URL
Kho Báu (with Rhymastic),STRONG,15,2,"NCT, ZINGMP3",8,2025-10-31,2025-11-07,6,15.0,NCT,1132.5,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5400000.0,68000.0,136259.0,0,0,03:38,,https://zingmp3.vn/bai-hat/Kho-Bau-with-Rhymastic-S-TRONG-Rhymastic/Z87FI0E0.html,https://www.nhaccuatui.com/song/UV8S5HlKISf1,
Exit Sign,HIEUTHUHAI,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,8,40.94736842105263,SPOTIFY,1131.4,59.54736842105264,3.0,54777693.0,616.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,20,2,"NCT, SPOTIFY",13,2025-10-31,2025-11-13,25,41.45,SPOTIFY,1117.9499999999998,55.897499999999994,3.0,24855245.0,851.0,1.0,0.0,0.0,0.0,0.0,0.0,203280.0,0,0,,,,https://www.nhaccuatui.com/song/mPjFpFGJhzko,
Tự Dưng Thành Người Lạ,Quốc Thiên,15,1,ZINGMP3,14,2025-10-31,2025-11-13,7,18.6,ZINGMP3,1112.4,74.16000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766000.0,18000.0,0.0,0,0,05:38,,https://zingmp3.vn/bai-hat/Tu-Dung-Thanh-Nguoi-La-Quoc-Thien/Z89BWI00.html,,
Mỹ Vị Cuộc Đời,Trung Quân,15,1,ZINGMP3,14,2025-10-31,2025-11-13,3,18.666666666666668,ZINGMP3,1111.5,74.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247000.0,3000.0,0.0,0,0,05:06,,https://zingmp3.vn/bai-hat/My-Vi-Cuoc-Doi-Trung-Quan/Z8AOAC0O.html,,
PHÓNG ZÌN ZÌN,tlinh,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,30,44.21052631578947,SPOTIFY,1053.7,55.45789473684211,4.0,34191379.0,419.0,1.0,,,,0.0,0.0,0.0,0,0,,,,,
Say Một Đời Vì Em,Nguyên Vũ,15,1,ZINGMP3,14,2025-10-31,2025-11-13,15,23.333333333333332,ZINGMP3,1048.5,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800000.0,46000.0,0.0,0,0,04:22,,https://zingmp3.vn/bai-hat/Say-Mot-Doi-Vi-Em-Nguyen-Vu/Z89UDD8F.html,,
vaicaunoicokhiennguoithaydoi,GREY D,19,2,"APPLE_MUSIC, SPOTIFY",12,2025-10-31,2025-11-12,30,45.1578947368421,SPOTIFY,1039.25,54.69736842105263,1.0,58390026.0,1241.0,6.0,,,,0.0,0.0,0.0,0,0,,,,,
Xin Lỗi Vì Đã Xuất Hiện,Thanh Hưng,15,1,ZINGMP3,14,2025-10-31,2025-11-13,9,24.133333333333333,ZINGMP3,1037.7,69.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415000.0,10000.0,0.0,0,0,06:03,,https://zingmp3.vn/bai-hat/Xin-Loi-Vi-Da-Xuat-Hien-Thanh-Hung/Z8A0AWU6.html,,
Hoa Bất Tử,Thành Đạt,15,1,ZINGMP3,14,2025-10-31,2025-11-13,20,25.133333333333333,ZINGMP3,1024.1999999999998,68.27999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17800000.0,240000.0,0.0,0,0,04:51,,https://zingmp3.vn/bai-hat/Hoa-Bat-Tu-Thanh-Dat/Z8UUZDZ8.html,,
