title,artists,featured_artists,source,spotify_popularity,spotify_release_date,spotify_genres,spotify_track_id,match_key,__key__
chờ bao lâu,út nhị mino,hào jk,zingmp3,33,2025-05-16,"vinahouse, vietnamese bolero, v-pop",2YD5RI5M1uoIJrKavDyopq,chobaolau||utnhimino,"('chờ bao lâu', 'mino, nhị, út', 'hào, jk')"
cho tôi lang thang,ngọt,đen,spotify,60,2018-03-27,"vietnam indie, v-pop, vietnamese lo-fi, vietnamese hip hop",2zRzmGerfTxc2epZHgaTdh,chotoilangthang||ngot,"('cho tôi lang thang', 'ngọt', 'đen')"
chúc phúc,pialinh,nan,zingmp3,36,2025-10-15,"v-pop, vietnam indie",4H2Tp0m4qVHdMc70g2Wf8J,chucphuc||pialinh,"('chúc phúc', 'pialinh', 'nan')"
chúng ta của hiện tại,sơn tùng m-tp,nan,"apple, spotify",63,2020-12-20,"v-pop, vinahouse, vietnamese hip hop",1J3SmWwlYAG68LGKr86MVH,chungtacuahientai||sontungmtp,"('chúng ta của hiện tại', 'm-tp, sơn, tùng', 'nan')"
chuyện đôi ta,emcee l,muộii (starry night),"apple, spotify",67,2021-12-01,"v-pop, vietnamese lo-fi, vietnam indie, vietnamese hip hop",4CUvVaAYuXtvYURLFz7EIL,chuyendoita||emceel,"('chuyện đôi ta', 'emcee, l', 'muộii, night, starry')"
có còn yêu em,nguyễn kiều oanh,nan,zingmp3,44,2025-08-16,v-pop,2omZCdoslK3YXKOS4oFQVl,coconyeuem||nguyenkieuoanh,"('có còn yêu em', 'kiều, nguyễn, oanh', 'nan')"
có đôi điều,shiki,nan,"apple, spotify",65,2024-06-27,"vietnamese hip hop, v-pop, vietnam indie",2Pwou3Q2Cf59RxdX2V6MgV,codoidieu||shiki,"('có đôi điều', 'shiki', 'nan')"
có em,madihu,low g,spotify,65,2022-04-22,"v-pop, vietnam indie, vietnamese hip hop",6Hs2xIgB8nzyGFDvVA8lFa,coem||madihu,"('có em', 'madihu', 'g, low')"
có em là nhà,min,nan,apple,55,2025-10-22,"v-pop, vietnamese hip hop, vietnam indie, vinahouse",4ZIJScWMgbLgM0hhfY19Oy,coemlanha||min,"('có em là nhà', 'min', 'nan')"
cơ hội cuối,an vũ,nan,zingmp3,52,2025-04-25,"v-pop, vinahouse, vietnamese lo-fi",2UntIOBeaSlLJrZbc3bdmD,cohoicuoi||anvu,"('cơ hội cuối', 'an, vũ', 'nan')"
có mình và ta,nguyễn vĩ,nan,zingmp3,40,2025-09-16,"vinahouse, vietnamese lo-fi, v-pop",00aePbGy0OSKVotPHGQlT2,cominhvata||nguyenvi,"('có mình và ta', 'nguyễn, vĩ', 'nan')"
cờ người,phùng khánh linh,nan,"apple, zingmp3",56,2025-10-18,"v-pop, vietnam indie",0IjFragIGhZPPhaF8HzJqo,conguoi||phungkhanhlinh,"('cờ người', 'khánh, linh, phùng', 'nan')"
còn gì đẹp hơn (mưa đỏ original soundtrack),nguyễn hùng,nan,"apple, nct, spotify, zingmp3",65,2025-07-27,"v-pop, vietnam indie",5zXCoF69UxPNLrpar8Rk7e,congidephonmuadooriginalsoundtrack||nguyenhung,"('còn gì đẹp hơn mưa đỏ original soundtrack', 'hùng, nguyễn', 'nan')"
cơn mưa cuối,justatee,binz,spotify,58,2016-11-03,"v-pop, vietnamese hip hop, vietnam indie",6E3P4uOfKHYXJLK6Q3s0Tj,conmuacuoi||justatee,"('cơn mưa cuối', 'justatee', 'binz')"
cứ đổ tại cơn mưa,em xinh say hi,"phương ly, orange, châu bùi, 52hz, vũ thảo my","apple, nct, zingmp3",59,2025-08-11,v-pop,0SNgVYcHY0UPil9YGmwU5k,cudotaiconmua||emxinhsayhi,"('cứ đổ tại cơn mưa', 'em, hi, say, xinh', '52hz, bùi, châu, ly, my, orange, phương, thảo, vũ')"
cứ đổ tại cơn mưa (solo & piano),em xinh say hi,orange,zingmp3,41,2025-09-18,v-pop,2XMgt7faxpOomPIZN9TEK8,cudotaiconmuasolopiano||emxinhsayhi,"('cứ đổ tại cơn mưa solo & piano', 'em, hi, say, xinh', 'orange')"
cứ khóc hết đi em,cao thái sơn,nan,zingmp3,18,2025-07-08,"v-pop, vinahouse, vietnamese bolero",1sslAVOfUCEorztohvA41g,cukhochetdiem||caothaison,"('cứ khóc hết đi em', 'cao, sơn, thái', 'nan')"
cưa em bốn mùa,nb3 hoài bảo,ct,zingmp3,32,2025-10-27,"vinahouse, vietnamese lo-fi, v-pop, lo-fi",1arYzhjZeNFSzHDXL1YjOd,cuaembonmua||nb3hoaibao,"('cưa em bốn mùa', 'bảo, hoài, nb3', 'ct')"
cục vàng của anh,nana liu,nan,zingmp3,29,2025-08-07,v-pop,3nYfepu0HuPI6sidP45wo3,cucvangcuaanh||nanaliu,"('cục vàng của anh', 'liu, nana', 'nan')"
cưới chính,nal,ct,zingmp3,41,2025-09-30,"vinahouse, vietnamese bolero, bolero, v-pop",5MKyEfqhXnasPDIwmD0Dgi,cuoichinh||nal,"('cưới chính', 'nal', 'ct')"
đã lỡ yêu em nhiều,justatee,nan,spotify,62,2022-07-11,"v-pop, vietnamese hip hop, vietnam indie",3J3nv18iIrOhca1ZWNeuyW,daloyeuemnhieu||justatee,"('đã lỡ yêu em nhiều', 'justatee', 'nan')"
